Energietraeger;Name;Einheit;Wert;Quelle
Konventionelle Erzeuger;Fernwaermeerzeugung;Twh/a;40.3846;Kurzstudie KWK
Muell;Fernwaermeerzeugung;Twh/a;6.8047;Kurzstudie KWK
Biomasse;Fernwaermeerzeugung;Twh/a;2.5148;Kurzstudie KWK
Industrielle Abwaerme;Fernwaermeerzeugung;Twh/a;2.3669;Kurzstudie KWK
Geothermie;Fernwaermeerzeugung;Twh/a;3.4024;Kurzstudie KWK
Solarthermie;Fernwaermeerzeugung;Twh/a;8.8757;Kurzstudie KWK
Elektrodenheizkessel;Fernwaermeerzeugung;Twh/a;1.1834;Kurzstudie KWK
Grosswaermepumpe;Fernwaermeerzeugung;Twh/a;18.7870;Kurzstudie KWK
Muell;Volllaststunden;h;8760.0000;Kurzstudie KWK
Biomasse;Volllaststunden;h;8760.0000;Kurzstudie KWK
Industrielle Abwaerme;Volllaststunden;h;8760.0000;Kurzstudie KWK
Geothermie;Volllaststunden;h;3000.0000;Kurzstudie KWK
Solarthermie;Volllaststunden;h;1300.0000;Kurzstudie KWK
Elektrodenheizkessel;Volllaststunden;h;1000.0000;Kurzstudie KWK
Grosswaermepumpe;Volllaststunden;h;7000.0000;Kurzstudie KWK
Elektrodenheizkessel;Wirkungsgrad;p.u.;0.9900;Kurzstudie PtX
Grosswaermepumpe;Wirkungsgrad;p.u.;2.3000;Kurzstudie KWK
Muell;Zubau;ja/nein;0.0000;Kurzstudie KWK
Biomasse;Zubau;ja/nein;0.0000;Kurzstudie KWK
Elektrodenheizkessel;Zubau;ja/nein;1.0000;Kurzstudie KWK
Grosswaermepumpe;Zubau;ja/nein;1.0000;Kurzstudie KWK
